classifier,scenario_id,n_runs,halt_count,pass_count,consistent,verdict_mode
B,s008,3,3,0,1,halt
B,s009,3,3,0,1,halt
B,s010,3,3,0,1,halt
B,s011,3,3,0,1,halt
B,s012,3,3,0,1,halt
B,s013,3,3,0,1,halt
B,s014,3,3,0,1,halt
B,s015,3,3,0,1,halt
B,s016,3,3,0,1,halt
B,s017,3,3,0,1,halt
B,s018,3,3,0,1,halt
B,s019,3,3,0,1,halt
B,s020,3,3,0,1,halt
B,s021,3,3,0,1,halt
B,s022,3,3,0,1,halt
B,s023,3,3,0,1,halt
B,s024,3,3,0,1,halt
B,s025,3,3,0,1,halt
B,s026,3,3,0,1,halt
B,s027,3,3,0,1,halt
B,s028,3,3,0,1,halt
B,s029,3,3,0,1,halt
B,s030,3,3,0,1,halt
B,s031,3,3,0,1,halt
B,s032,3,3,0,1,halt
B,s033,3,3,0,1,halt
B,s034,3,3,0,1,halt
B,s035,3,3,0,1,halt
B,s036,3,0,3,1,pass
B,s037,3,3,0,1,halt
B,s038,3,3,0,1,halt
B,s039,3,3,0,1,halt
B,s040,3,3,0,1,halt
B,s041,3,3,0,1,halt
B,s042,3,3,0,1,halt
B,s043,3,3,0,1,halt
B,s044,3,3,0,1,halt
B,s045,3,3,0,1,halt
B,s046,3,3,0,1,halt
B,s047,3,3,0,1,halt
B,s048,3,3,0,1,halt
B,s049,3,3,0,1,halt
B,s050,3,3,0,1,halt
B,s051,3,3,0,1,halt
B,s052,3,3,0,1,halt
B,s053,3,3,0,1,halt
B,s054,3,3,0,1,halt
B,s055,3,3,0,1,halt
B,s056,3,3,0,1,halt
B,s057,3,3,0,1,halt
B,s058,3,3,0,1,halt
B,s059,3,0,3,1,pass
B,s060,3,3,0,1,halt
C,s001,3,3,0,1,halt
C,s002,3,3,0,1,halt
C,s003,3,3,0,1,halt
C,s004,3,3,0,1,halt
C,s005,3,3,0,1,halt
C,s006,3,3,0,1,halt
C,s007,3,3,0,1,halt
C,s008,3,0,3,1,pass
C,s009,3,0,3,1,pass
C,s010,3,3,0,1,halt
C,s011,3,3,0,1,halt
C,s012,3,3,0,1,halt
C,s013,3,3,0,1,halt
C,s014,3,3,0,1,halt
C,s015,3,3,0,1,halt
C,s016,3,3,0,1,halt
C,s017,3,3,0,1,halt
C,s018,3,3,0,1,halt
C,s019,3,0,3,1,pass
C,s020,3,3,0,1,halt
C,s021,3,3,0,1,halt
C,s022,3,3,0,1,halt
C,s023,3,3,0,1,halt
C,s024,3,3,0,1,halt
C,s025,3,3,0,1,halt
C,s026,3,3,0,1,halt
C,s027,3,3,0,1,halt
C,s028,3,3,0,1,halt
C,s029,3,3,0,1,halt
C,s030,3,3,0,1,halt
C,s031,3,3,0,1,halt
C,s032,3,3,0,1,halt
C,s033,3,3,0,1,halt
C,s034,3,0,3,1,pass
C,s035,3,3,0,1,halt
C,s036,3,0,3,1,pass
C,s037,3,3,0,1,halt
C,s038,3,3,0,1,halt
C,s039,3,0,3,1,pass
C,s040,3,3,0,1,halt
C,s041,3,3,0,1,halt
C,s042,3,3,0,1,halt
C,s043,3,3,0,1,halt
C,s044,3,3,0,1,halt
C,s045,3,3,0,1,halt
C,s046,3,3,0,1,halt
C,s047,3,3,0,1,halt
C,s048,3,0,3,1,pass
C,s049,3,3,0,1,halt
C,s050,3,3,0,1,halt
C,s051,3,3,0,1,halt
C,s052,3,3,0,1,halt
C,s053,3,3,0,1,halt
C,s054,3,3,0,1,halt
C,s055,3,3,0,1,halt
C,s056,3,0,3,1,pass
C,s057,3,3,0,1,halt
C,s058,3,3,0,1,halt
C,s059,3,0,3,1,pass
C,s060,3,3,0,1,halt
